# File assembled by A. J. Schultz, November, 2009.
#
# Except for hydrogen, cross-section values are from the NIST web site:
# http://www.ncnr.nist.gov/resources/n-lengths/list.html
# which contains values from:
# V. F. Sears, Neutron News, Vol. 3, No. 3, 1992, pp. 29-37.
#
# Hydrogen cross-sections are from:
# Howard, J. A. K.; Johnson, O.; Schultz, A. J.; Stringer, A. M.
#	J. Appl. Cryst. 1987, 20, 120-122.
#
# Atomic weights are from the atmdata.dat file in the GSAS distribution:
# A.C. Larson and R.B. Von Dreele, General Structure Analysis System (GSAS),
# Los Alamos National Laboratory Report LAUR 86-748 (2004).
# In the file, there is this citation:
# At wts from 14th ed Nuclides & Isotopes, 1989 GE Co.
#
# The table contains the following:
#
# Column  Unit    Quantity  
# ------  ----    --------
#      1  ---     Isotope  
#      2  barn    total bound scattering cross section  
#      3  barn    absorption cross section for 2200 m/s neutrons (wavelength = 1.8 A)
#      4  ---     Atomic number
#      5  g/mole  Atomic weight
#
# Note: 1 barn = 1E-24 cm^2
#
78Se        8.500       0.430000    34        --- 
80Se        7.030       0.610000    34        --- 
82Se        5.050       0.044000    34        --- 
Br          5.900       6.900000    35     79.904 
79Br        5.960      11.000000    35     78.918 
81Br        5.840       2.700000    35     80.916 
Kr          7.680      25.000000    36     83.800 
78Kr          ---       6.400000    36        --- 
80Kr          ---      11.800000    36        --- 
82Kr          ---      29.000000    36        --- 
83Kr          ---     185.000000    36        --- 
84Kr        6.600       0.113000    36        --- 
86Kr        8.200       0.003000    36        --- 
Rb          6.800       0.380000    37     85.468 
85Rb        6.700       0.480000    37        --- 
87Rb        7.100       0.120000    37        --- 
Sr          6.250       1.280000    38     87.620 
84Sr        6.000       0.870000    38        --- 
86Sr        4.040       1.040000    38        --- 
87Sr        7.400      16.000000    38        --- 
88Sr        6.420       0.058000    38        --- 
Y           7.700       1.280000    39     88.907 
Zr          6.460       0.185000    40     91.220 
90Zr        5.100       0.011000    40        --- 
91Zr        9.700       1.170000    40        --- 
92Zr        6.900       0.220000    40        --- 
94Zr        8.400       0.049900    40        --- 
96Zr        3.800       0.022900    40        --- 
Nb          6.255       1.150000    41     92.906 
Mo          5.710       2.480000    42     95.940 
92Mo        6.000       0.019000    42        --- 
94Mo        5.810       0.015000    42        --- 
95Mo        6.500      13.100000    42        --- 
96Mo        4.830       0.500000    42        --- 
97Mo        7.100       2.500000    42        --- 
98Mo        5.440       0.127000    42        --- 
100Mo       5.690       0.400000    42        --- 
Tc          6.300      20.000000    43        --- 
Ru          6.600       2.560000    44    101.070 
96Ru          ---       0.280000    44        --- 
98Ru          ---       8.000000    44        --- 
99Ru          ---       6.900000    44        --- 
100Ru         ---       4.800000    44        --- 
101Ru         ---       3.300000    44        --- 
102Ru     144.800       1.170000    44        --- 
104Ru       4.483       0.310000    44        --- 
Rh          4.600     144.800000    45    102.906 
Pd          4.480       6.900000    46    106.400 
102Pd       7.500       3.400000    46        --- 
104Pd       7.500       0.600000    46        --- 
105Pd       4.600      20.000000    46        --- 
106Pd       5.100       0.304000    46        --- 
108Pd       2.100       8.550000    46        --- 
110Pd       7.500       0.226000    46        --- 
Ag          4.990      63.300000    47    107.868 
107Ag       7.300      37.600000    47        --- 
109Ag       2.500      91.000000    47        --- 
Cd          6.500    2520.000000    48    112.410 
106Cd       3.100       1.000000    48        --- 
108Cd       3.700       1.100000    48        --- 
110Cd       4.400      11.000000    48        --- 
111Cd       5.600      24.000000    48        --- 
112Cd       5.100       2.200000    48    111.903 
113Cd      12.400   20600.000000    48    112.904 
114Cd       7.100       0.340000    48    113.903 
116Cd       5.000       0.075000    48    115.905 
In          2.620     193.800000    49    114.820 
113In       3.650      12.000000    49    112.904 
115In       2.570     202.000000    49    114.904 
Sn          4.892       0.626000    50    118.690 
112Sn       4.500       1.000000    50        --- 
114Sn       4.800       0.114000    50        --- 
115Sn       4.800      30.000000    50        --- 
116Sn       4.420       0.140000    50        --- 
117Sn       5.600       2.300000    50        --- 
118Sn       4.630       0.220000    50        --- 
119Sn       5.000       2.200000    50        --- 
120Sn       5.290       0.140000    50        --- 
122Sn       4.140       0.180000    50        --- 
124Sn       4.480       0.133000    50        --- 
Sb          3.900       4.910000    51    121.750 
121Sb       4.100       5.750000    51        --- 
123Sb       3.640       3.800000    51        --- 
Te          4.320       4.700000    52    127.600 
120Te       3.500       2.300000    52        --- 
122Te       1.800       3.400000    52        --- 
123Te       0.520     418.000000    52        --- 
124Te       8.000       6.800000    52        --- 
125Te       3.180       1.550000    52        --- 
126Te       3.880       1.040000    52        --- 
128Te       4.360       0.215000    52        --- 
130Te       4.550       0.290000    52        --- 
I           3.810       6.150000    53    126.904 
Xe            ---      23.900000    54    131.300 
124Xe         ---     165.000000    54        --- 
126Xe         ---       3.500000    54        --- 
128Xe         ---       8.000000    54        --- 
129Xe         ---      21.000000    54        --- 
130Xe         ---      26.000000    54        --- 
131Xe         ---      85.000000    54        --- 
132Xe         ---       0.450000    54        --- 
134Xe         ---       0.265000    54        --- 
136Xe         ---       0.260000    54        --- 
Cs          3.900      29.000000    55    132.905 
Ba          3.380       1.100000    56    137.330 
130Ba       1.600      30.000000    56        --- 
132Ba       7.600       7.000000    56        --- 
134Ba       4.080       2.000000    56        --- 
135Ba       3.200       5.800000    56        --- 
136Ba       3.030       0.680000    56        --- 
137Ba       6.400       3.600000    56        --- 
138Ba       2.940       0.270000    56        --- 
La          9.660       8.970000    57    138.906 
138La       8.500      57.000000    57        --- 
139La       9.660       8.930000    57        --- 
Ce          2.940       0.630000    58    140.120 
136Ce       4.230       7.300000    58        --- 
138Ce       5.640       1.100000    58        --- 
140Ce       2.940       0.570000    58        --- 
142Ce       2.840       0.950000    58        --- 
Pr          2.660      11.500000    59    140.908 
Nd         16.600      50.500000    60    144.240 
142Nd       7.500      18.700000    60        --- 
143Nd      80.000     337.000000    60        --- 
144Nd       1.000       3.600000    60        --- 
145Nd      30.000      42.000000    60        --- 
146Nd       9.500       1.400000    60        --- 
148Nd       4.100       2.500000    60        --- 
150Nd       3.500       1.200000    60        --- 
Pm         21.300     168.400000    61        --- 
Sm         39.000    5922.000000    62    150.400 
144Sm       1.000       0.700000    62        --- 
147Sm      39.000      57.000000    62        --- 
148Sm       1.000       2.400000    62        --- 
149Sm     200.000   42080.000000    62    148.917 
150Sm      25.000     104.000000    62        --- 
152Sm       3.100     206.000000    62    151.920 
154Sm      11.000       8.400000    62    153.922 
Eu          9.200    4530.000000    63    151.960 
151Eu       8.600    9100.000000    63    150.920 
153Eu       9.800     312.000000    63    152.921 
Gd        180.000   49700.000000    64    157.250 
152Gd      13.000     735.000000    64        --- 
154Gd      13.000      85.000000    64        --- 
155Gd      66.000   61100.000000    64    154.923 
156Gd       5.000       1.500000    64        --- 
157Gd    1044.000  259000.000000    64        --- 
158Gd      10.000       2.200000    64        --- 
160Gd      10.520       0.770000    64    159.927 
Tb          6.840      23.400000    65    158.925 
Dy         90.300     994.000000    66    162.500 
156Dy       4.700      33.000000    66        --- 
158Dy       5.000      43.000000    66        --- 
160Dy       5.600      56.000000    66        --- 
161Dy      16.000     600.000000    66        --- 
162Dy       0.250     194.000000    66        --- 
